team,Cluster,season
Bayern Munich,1,2018
Schalke 04,5,2018
Dortmund,3,2018
Hoffenheim,5,2018
Barcelona,4,2018
Atlético Madrid,5,2018
Real Madrid,4,2018
Valencia,5,2018
Paris S-G,4,2018
Monaco,5,2018
Lyon,0,2018
Marseille,0,2018
Manchester City,2,2018
Manchester Utd,0,2018
Tottenham,0,2018
Liverpool,0,2018
Juventus,0,2018
Napoli,4,2018
Roma,0,2018
Inter,0,2018
Bayern Munich,1,2019
Dortmund,4,2019
RB Leipzig,5,2019
Leverkusen,0,2019
Barcelona,4,2019
Atlético Madrid,5,2019
Real Madrid,4,2019
Valencia,5,2019
Paris S-G,4,2019
Lille,5,2019
Lyon,4,2019
Saint-Étienne,5,2019
Manchester City,2,2019
Liverpool,4,2019
Chelsea,4,2019
Tottenham,0,2019
Juventus,6,2019
Napoli,4,2019
Atalanta,0,2019
Inter,6,2019
Bayern Munich,1,2020
Dortmund,4,2020
RB Leipzig,0,2020
Gladbach,0,2020
Real Madrid,4,2020
Barcelona,4,2020
Atlético Madrid,5,2020
Sevilla,0,2020
Paris S-G,4,2020
Marseille,0,2020
Rennes,5,2020
Lille,5,2020
Liverpool,1,2020
Manchester City,2,2020
Chelsea,4,2020
Manchester Utd,0,2020
Juventus,4,2020
Inter,6,2020
Atalanta,0,2020
Lazio,6,2020
Bayern Munich,1,2021
RB Leipzig,0,2021
Dortmund,4,2021
Wolfsburg,5,2021
Atlético Madrid,5,2021
Real Madrid,4,2021
Barcelona,2,2021
Sevilla,6,2021
Lille,0,2021
Paris S-G,4,2021
Monaco,0,2021
Lyon,0,2021
Manchester City,2,2021
Manchester Utd,0,2021
Liverpool,1,2021
Chelsea,4,2021
Inter,6,2021
Milan,0,2021
Atalanta,0,2021
Juventus,4,2021
Bayern Munich,1,2022
Dortmund,3,2022
Leverkusen,0,2022
RB Leipzig,0,2022
Real Madrid,4,2022
Barcelona,4,2022
Atlético Madrid,5,2022
Sevilla,6,2022
Paris S-G,4,2022
Marseille,4,2022
Monaco,0,2022
Nice,0,2022
Manchester City,2,2022
Liverpool,1,2022
Chelsea,4,2022
Tottenham,3,2022
Milan,0,2022
Inter,6,2022
Napoli,3,2022
Juventus,6,2022
Bayern Munich,1,2023
Dortmund,3,2023
RB Leipzig,3,2023
Union Berlin,5,2023
Barcelona,4,2023
Real Madrid,4,2023
Atlético Madrid,5,2023
Real Sociedad,5,2023
Paris S-G,2,2023
Lens,0,2023
Marseille,0,2023
Rennes,0,2023
Manchester City,2,2023
Arsenal,3,2023
Manchester Utd,3,2023
Newcastle Utd,5,2023
Napoli,4,2023
Lazio,3,2023
Inter,6,2023
Juventus,6,2023
Leverkusen,2,2024
Stuttgart,3,2024
Bayern Munich,2,2024
RB Leipzig,3,2024
Real Madrid,4,2024
Barcelona,4,2024
Girona,3,2024
Atlético Madrid,3,2024
Paris S-G,2,2024
Monaco,0,2024
Brest,0,2024
Lille,3,2024
Manchester City,2,2024
Arsenal,3,2024
Liverpool,4,2024
Aston Villa,3,2024
Inter,6,2024
Milan,3,2024
Juventus,6,2024
Atalanta,3,2024
Bayern Munich,2,2025
Leverkusen,3,2025
Eint Frankfurt,3,2025
Stuttgart,3,2025
Real Madrid,4,2025
Atlético Madrid,3,2025
Athletic Club,5,2025
Barcelona,1,2025
Paris S-G,2,2025
Marseille,3,2025
Lille,3,2025
Monaco,3,2025
Liverpool,3,2025
Arsenal,3,2025
Nott'ham Forest,5,2025
Chelsea,3,2025
Napoli,3,2025
Inter,6,2025
Atalanta,3,2025
Lazio,3,2025
