team,possession,cards_yellow_per90,cards_red_per90,progressive_carries_per90,gk_passes_pct_launched,gk_pct_passes_launched,gk_passes_length_avg,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_per90,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target_pct,passes_completed_per90,passes_per90,passes_pct,passes_completed_short_per90,passes_pct_short,passes_completed_medium_per90,passes_pct_medium,passes_completed_long_per90,passes_pct_long,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,through_balls_per90,passes_switches_per90,tackles_per90,tackles_won_per90,challenges_per90,challenge_tackles_pct,blocks_per90,blocked_shots_per90,interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct,take_ons_tackled_pct,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,fouls_per90,fouled_per90,offsides_per90,ball_recoveries_per90,aerials_won_per90,aerials_won_pct,season,league
Arsenal,55.5,2.272727272727273,0.13636363636363635,20.636363636363637,34.5,35.4,31.7,55.9,41.8,10.863636363636363,13.4,1.55,15.9,35.0,436.90909090909093,522.6818181818181,83.6,218.95454545454547,91.4,180.27272727272728,88.5,30.0,52.8,35.27272727272727,11.090909090909092,1.8636363636363635,1.9545454545454546,2.272727272727273,16.5,10.045454545454545,14.590909090909092,48.6,9.5,3.409090909090909,6.409090909090909,17.0,0.8636363636363636,624.1363636363636,50.54545454545455,164.45454545454547,267.22727272727275,196.95454545454547,34.72727272727273,19.318181818181817,8.272727272727273,42.8,44.0,361.3636363636364,1864.5,974.7272727272727,12.363636363636363,7.5,12.454545454545455,10.454545454545455,433.27272727272725,45.68181818181818,11.545454545454545,10.454545454545455,2.272727272727273,38.22727272727273,13.5,51.8,2025,Premier League
Aston Villa,49.7,2.1818181818181817,0.09090909090909091,17.181818181818183,43.9,26.7,29.9,36.4,32.1,13.954545454545455,11.4,0.86,12.8,31.1,387.09090909090907,467.5,82.8,174.6818181818182,90.0,175.77272727272728,89.1,29.363636363636363,54.6,29.0,8.136363636363637,1.4090909090909092,2.5454545454545454,1.5454545454545454,17.181818181818183,9.909090909090908,13.681818181818182,56.1,8.636363636363637,2.8636363636363638,6.863636363636363,19.818181818181817,1.1363636363636365,567.4090909090909,67.36363636363636,197.72727272727272,242.1818181818182,133.4090909090909,24.954545454545453,18.09090909090909,8.545454545454545,47.2,40.2,321.22727272727275,1759.6363636363637,922.5909090909091,11.5,5.318181818181818,12.818181818181818,10.0,380.5,33.0,11.863636363636363,12.954545454545455,1.2272727272727273,38.04545454545455,9.409090909090908,46.9,2025,Premier League
Bournemouth,45.9,2.590909090909091,0.0,18.636363636363637,42.0,37.8,33.8,59.4,44.8,12.727272727272727,4.6,1.5,15.8,33.5,322.3181818181818,425.1818181818182,75.8,137.36363636363637,85.7,144.04545454545453,84.3,35.59090909090909,47.7,31.59090909090909,8.636363636363637,2.3181818181818183,1.6818181818181819,1.9545454545454546,19.272727272727273,11.681818181818182,17.272727272727273,47.9,12.363636363636363,3.727272727272727,9.681818181818182,25.454545454545453,0.5909090909090909,552.4090909090909,59.72727272727273,165.72727272727272,235.0909090909091,158.77272727272728,27.318181818181817,17.954545454545453,7.5,41.8,46.1,297.6818181818182,1703.3636363636363,896.0,12.954545454545455,6.181818181818182,15.5,9.909090909090908,319.59090909090907,39.90909090909091,13.636363636363637,10.045454545454545,1.7727272727272727,50.81818181818182,14.727272727272727,46.7,2025,Premier League
Brentford,47.4,1.5,0.045454545454545456,15.727272727272727,37.2,35.1,33.7,41.0,35.5,16.59090909090909,7.4,1.05,11.8,43.8,364.6818181818182,462.8636363636364,78.8,162.5,87.2,159.6818181818182,85.2,36.36363636363637,52.3,28.863636363636363,7.7272727272727275,1.9545454545454546,1.9090909090909092,1.6818181818181819,16.545454545454547,10.181818181818182,15.454545454545455,52.9,12.818181818181818,5.363636363636363,8.136363636363637,27.454545454545453,0.6818181818181818,577.3181818181819,93.4090909090909,234.0909090909091,213.36363636363637,134.95454545454547,23.363636363636363,15.818181818181818,6.454545454545454,40.8,46.8,313.04545454545456,1687.8181818181818,856.5,10.090909090909092,5.2727272727272725,13.636363636363637,8.363636363636363,359.8636363636364,36.13636363636363,7.681818181818182,8.954545454545455,2.1363636363636362,42.95454545454545,16.40909090909091,52.7,2025,Premier League
Brighton,52.4,2.1363636363636362,0.045454545454545456,21.363636363636363,36.1,25.9,25.1,27.2,25.1,12.136363636363637,7.5,1.55,15.4,33.3,417.95454545454544,503.6818181818182,83.0,199.6818181818182,90.5,173.5,87.9,35.81818181818182,56.9,30.40909090909091,8.363636363636363,2.272727272727273,2.227272727272727,2.1818181818181817,17.227272727272727,10.5,17.863636363636363,47.6,12.363636363636363,3.6818181818181817,8.272727272727273,18.772727272727273,0.5909090909090909,620.9090909090909,73.0909090909091,205.77272727272728,269.5,153.0,27.40909090909091,22.0,9.181818181818182,41.7,48.8,364.90909090909093,2043.7272727272727,1115.8636363636363,15.045454545454545,6.954545454545454,15.045454545454545,9.181818181818182,413.1818181818182,40.81818181818182,12.045454545454545,11.409090909090908,1.0454545454545454,44.36363636363637,13.136363636363637,53.1,2025,Premier League
Chelsea,58.3,3.0,0.045454545454545456,23.227272727272727,23.2,29.2,30.9,16.5,20.3,10.272727272727273,13.3,1.91,15.0,35.3,485.72727272727275,571.6818181818181,85.0,219.45454545454547,91.6,219.27272727272728,90.3,36.95454545454545,56.7,39.22727272727273,9.318181818181818,1.7272727272727273,2.5,2.8181818181818183,15.363636363636363,9.727272727272727,14.909090909090908,48.5,9.909090909090908,3.0454545454545454,7.590909090909091,16.545454545454547,1.0454545454545454,675.5909090909091,61.54545454545455,204.0909090909091,305.1818181818182,171.72727272727272,30.681818181818183,21.727272727272727,9.090909090909092,41.8,43.5,395.6363636363636,2095.0454545454545,1134.5,13.454545454545455,8.272727272727273,12.318181818181818,8.090909090909092,482.27272727272725,41.5,11.863636363636363,12.272727272727273,1.7272727272727273,42.09090909090909,10.045454545454545,49.7,2025,Premier League
Crystal Palace,43.7,2.0454545454545454,0.045454545454545456,13.954545454545455,25.6,48.6,38.3,50.0,41.6,14.590909090909092,5.3,1.23,15.3,34.9,331.90909090909093,435.40909090909093,76.2,142.45454545454547,85.9,152.13636363636363,84.8,31.681818181818183,45.7,25.5,7.2727272727272725,1.7727272727272727,1.5909090909090908,1.5909090909090908,21.59090909090909,12.636363636363637,18.272727272727273,49.3,12.863636363636363,3.590909090909091,8.727272727272727,25.59090909090909,0.45454545454545453,554.8181818181819,67.95454545454545,204.36363636363637,234.72727272727272,121.45454545454545,20.545454545454547,12.909090909090908,5.409090909090909,41.9,48.6,283.95454545454544,1437.2272727272727,695.2272727272727,9.727272727272727,3.727272727272727,12.636363636363637,9.590909090909092,329.59090909090907,32.54545454545455,10.863636363636363,11.181818181818182,1.7272727272727273,46.18181818181818,14.045454545454545,44.8,2025,Premier League
Everton,40.5,2.0952380952380953,0.047619047619047616,13.619047619047619,37.9,53.7,41.5,54.2,44.4,14.238095238095237,5.4,2.14,16.6,29.8,295.23809523809524,388.76190476190476,75.9,132.33333333333334,86.9,117.71428571428571,84.4,40.04761904761905,52.3,27.952380952380953,6.809523809523809,2.238095238095238,0.8571428571428571,2.0,20.142857142857142,11.761904761904763,17.666666666666668,53.4,10.047619047619047,3.7142857142857144,9.380952380952381,25.333333333333332,0.6666666666666666,503.6190476190476,62.80952380952381,177.85714285714286,203.14285714285714,129.1904761904762,19.19047619047619,19.095238095238095,8.666666666666666,45.4,47.4,241.04761904761904,1339.2857142857142,659.1904761904761,10.0,3.8095238095238093,13.666666666666666,10.714285714285714,292.7142857142857,27.523809523809526,11.904761904761905,9.952380952380953,2.619047619047619,42.04761904761905,14.285714285714286,50.8,2025,Premier League
Fulham,52.9,2.3181818181818183,0.09090909090909091,21.636363636363637,33.8,22.4,28.2,33.8,30.2,13.090909090909092,6.3,0.91,13.1,32.8,439.90909090909093,535.1818181818181,82.2,198.27272727272728,89.8,193.04545454545453,88.1,40.5,56.5,35.45454545454545,9.318181818181818,2.8181818181818183,1.3181818181818181,3.272727272727273,17.545454545454547,10.136363636363637,14.863636363636363,48.9,9.818181818181818,2.727272727272727,9.045454545454545,20.5,0.8181818181818182,641.5909090909091,69.31818181818181,213.63636363636363,263.90909090909093,170.72727272727272,25.545454545454547,17.863636363636363,8.272727272727273,46.3,36.9,384.1363636363636,1961.3636363636363,1008.9090909090909,14.954545454545455,6.409090909090909,12.818181818181818,7.545454545454546,435.90909090909093,40.95454545454545,10.954545454545455,10.454545454545455,1.2727272727272727,41.45454545454545,13.090909090909092,48.3,2025,Premier League
Ipswich Town,40.6,2.6363636363636362,0.09090909090909091,13.318181818181818,33.9,35.0,35.5,56.8,43.2,14.772727272727273,13.8,0.91,8.3,33.0,309.54545454545456,396.8636363636364,78.0,143.27272727272728,88.8,132.36363636363637,85.1,27.681818181818183,46.9,23.227272727272727,4.454545454545454,1.2727272727272727,1.4090909090909092,1.7272727272727273,15.772727272727273,8.727272727272727,16.545454545454547,44.8,11.0,4.545454545454546,8.636363636363637,26.227272727272727,1.2272727272727273,506.54545454545456,78.27272727272727,206.13636363636363,198.54545454545453,107.13636363636364,16.227272727272727,15.681818181818182,7.045454545454546,44.9,43.2,260.27272727272725,1426.8636363636363,683.3181818181819,9.045454545454545,4.0,14.545454545454545,9.181818181818182,306.77272727272725,24.136363636363637,11.772727272727273,10.181818181818182,1.5,38.09090909090909,14.545454545454545,51.4,2025,Premier League
Leicester City,46.1,2.3181818181818183,0.0,15.863636363636363,32.2,42.5,32.0,41.6,32.5,16.59090909090909,6.3,0.95,20.7,32.8,377.0,469.1818181818182,80.4,187.1818181818182,89.9,150.72727272727272,86.7,28.90909090909091,47.4,27.272727272727273,6.045454545454546,1.7727272727272727,1.9090909090909092,1.3181818181818181,19.772727272727273,11.272727272727273,18.40909090909091,47.4,14.045454545454545,5.2272727272727275,8.409090909090908,25.454545454545453,0.6818181818181818,585.1363636363636,77.0,215.04545454545453,265.0,110.9090909090909,17.863636363636363,19.363636363636363,7.7727272727272725,40.1,48.6,335.09090909090907,1669.1363636363637,830.3636363636364,9.681818181818182,3.8636363636363638,13.136363636363637,9.181818181818182,373.77272727272725,29.09090909090909,10.818181818181818,10.727272727272727,1.6818181818181819,39.04545454545455,13.772727272727273,49.4,2025,Premier League
Liverpool,57.5,2.142857142857143,0.047619047619047616,22.19047619047619,32.6,26.8,25.3,18.5,22.7,9.428571428571429,4.0,1.48,16.2,37.2,485.0,575.6190476190476,84.3,236.28571428571428,92.1,201.9047619047619,88.4,35.714285714285715,54.5,41.19047619047619,12.666666666666666,2.5238095238095237,1.8095238095238095,3.6666666666666665,16.952380952380953,10.523809523809524,16.761904761904763,53.7,9.80952380952381,2.380952380952381,7.9523809523809526,17.571428571428573,0.47619047619047616,682.7619047619048,61.142857142857146,187.42857142857142,306.6190476190476,194.71428571428572,35.857142857142854,16.857142857142858,7.9523809523809526,47.2,44.6,397.3333333333333,2036.2857142857142,1094.047619047619,14.619047619047619,8.904761904761905,13.285714285714286,9.238095238095237,479.4761904761905,50.38095238095238,11.666666666666666,9.380952380952381,1.3333333333333333,44.0,11.238095238095237,56.1,2025,Premier League
Manchester City,61.4,1.9545454545454546,0.045454545454545456,31.772727272727273,47.5,19.7,28.1,20.9,24.3,9.090909090909092,5.0,1.55,17.1,34.7,575.7727272727273,651.5909090909091,88.4,300.95454545454544,92.9,233.5909090909091,91.6,33.13636363636363,64.1,43.63636363636363,12.818181818181818,1.9545454545454546,2.3181818181818183,2.1818181818181817,13.090909090909092,7.909090909090909,11.818181818181818,50.0,8.590909090909092,2.4545454545454546,6.045454545454546,15.0,0.8181818181818182,745.4090909090909,53.90909090909091,164.77272727272728,308.95454545454544,277.09090909090907,39.31818181818182,19.818181818181817,9.590909090909092,48.4,36.2,473.6363636363636,2727.9545454545455,1498.3636363636363,23.545454545454547,11.636363636363637,11.863636363636363,10.272727272727273,567.7272727272727,52.81818181818182,7.363636363636363,10.045454545454545,1.0454545454545454,37.68181818181818,8.227272727272727,48.7,2025,Premier League
Manchester Utd,53.7,2.409090909090909,0.09090909090909091,17.227272727272727,28.0,29.2,29.0,38.6,31.3,10.545454545454545,5.6,0.73,11.7,33.6,456.1363636363636,549.0909090909091,83.1,225.8181818181818,90.7,185.36363636363637,89.1,32.45454545454545,51.6,30.818181818181817,7.863636363636363,1.6363636363636365,2.3181818181818183,2.9545454545454546,21.181818181818183,12.727272727272727,18.863636363636363,52.5,9.545454545454545,2.8181818181818183,10.818181818181818,17.454545454545453,0.7272727272727273,659.1818181818181,64.63636363636364,227.3181818181818,287.8636363636364,150.1818181818182,24.636363636363637,17.318181818181817,7.363636363636363,42.5,50.1,406.27272727272725,2015.3181818181818,994.4545454545455,12.181818181818182,6.2727272727272725,12.590909090909092,9.409090909090908,451.3636363636364,36.09090909090909,11.227272727272727,9.454545454545455,2.0,45.40909090909091,11.363636363636363,48.0,2025,Premier League
